Year;Month;Day;Hour;TMP;WNDCHILL;DPT;WNDCARD;WNDSPD;WNDMEAN;WNDGUST;HR;PRMSL;VISIBILITY;TCDC;RAIN;COND
2018;11;01;00:00;6.9;6;3.6;NNE;5.6;--;13.0;79;1012.6;--;--;0/1h, 0/6h, ;--
2018;11;01;01:00;6.9;5.5;3.8;NE;7.4;--;11.1;81;1012.4;--;--;0/1h, ;--
2018;11;01;02:00;7.3;7.3;4.9;Calme;0.0;--;7.4;85;1012.4;--;--;0/1h, ;--
2018;11;01;03:00;7.2;7.2;4.8;SSE;1.9;--;11.1;85;1012.7;--;--;0/1h, ;--
2018;11;01;04:00;7.3;6.5;4.8;N;5.6;--;9.3;84;1013.0;--;--;0/1h, ;--
2018;11;01;05:00;7.5;6.2;5.0;N;7.4;--;13.0;84;1012.1;--;--;0/1h, ;--
2018;11;01;06:00;7.6;6.8;5.0;N;5.6;--;13.0;84;1012.9;--;--;0/1h, 0/12h, 0/24h, ;--
2018;11;01;07:00;8.1;7.4;5.7;N;5.6;--;9.3;85;1013.9;--;--;0/1h, ;--
2018;11;01;08:00;8.3;8.3;6.5;N;3.7;--;9.3;88;1013.4;--;--;0/1h, ;--
2018;11;01;09:00;9.4;9.4;6.6;O;3.7;--;9.3;83;1013.6;--;--;0/1h, ;--
2018;11;01;10:00;10.2;9.8;6.7;SO;5.6;--;13.0;79;1014.0;--;--;0/1h, ;--
2018;11;01;11:00;10.4;9.6;6.8;OSO;7.4;--;14.8;78;1013.8;--;--;0/1h, ;--
2018;11;01;12:00;11.7;11.5;6.4;SSO;5.6;--;14.8;70;1013.0;--;--;0/1h, 0/6h, ;--
2018;11;01;13:00;12.6;12.6;5.8;S;5.6;--;11.1;63;1012.3;--;--;0/1h, ;--
2018;11;01;14:00;12.3;11.5;4.9;ONO;9.3;--;16.7;61;1012.9;--;--;0/1h, ;--
2018;11;01;15:00;11.0;10.7;6.4;OSO;5.6;--;16.7;73;1014.2;--;--;0.2/1h, ;--
2018;11;01;16:00;10.5;8.8;7.8;O;13.0;--;31.5;83;1015.6;--;--;2/1h, ;--
2018;11;01;17:00;10.1;8.6;8.3;NO;11.1;--;29.6;89;1016.2;--;--;0.5/1h, ;--
2018;11;01;18:00;10.5;9.7;7.9;O;7.4;--;31.5;84;1016.7;--;--;0/1h, 2/12h, ;--
2018;11;01;19:00;10.4;10.4;7.5;OSO;3.7;--;14.8;82;1017.3;--;--;0/1h, ;--
2018;11;01;20:00;10.0;10.0;8.5;ESE;3.7;--;13.0;90;1017.9;--;--;0/1h, ;--
2018;11;01;21:00;9.8;9.8;8.2;E;1.9;--;14.8;90;1018.3;--;--;0/1h, ;--
2018;11;01;22:00;9.9;9.9;7.8;ENE;1.9;--;9.3;87;1018.5;--;--;0/1h, ;--
2018;11;01;23:00;10.0;10.0;8.0;SO;3.7;--;7.4;87;1018.4;--;--;0/1h, ;--
2018;11;02;00:00;9.7;9.7;7.7;Calme;3.7;--;14.8;87;1018.7;--;--;0/1h, 0/6h, ;--
2018;11;02;01:00;9.0;9.0;7.5;E;3.7;--;7.4;90;1018.9;--;--;0/1h, ;--
2018;11;02;02:00;9.1;9.1;7.4;N;3.7;--;7.4;89;1018.9;--;--;0/1h, ;--
