Year;Month;Day;Hour;TMP;WNDCHILL;DPT;WNDCARD;WNDSPD;WNDMEAN;WNDGUST;HR;PRMSL;VISIBILITY;TCDC;RAIN;COND
2017;05;01;00:00;9.4;7.7;5.6;O;11.1;--;38.9;77;1009.2;--;--;0/1h, 0.1/6h, ;--
2017;05;01;01:00;8.4;5.7;5.5;O;16.7;--;38.9;82;1009.8;--;--;0.1/1h, ;--
2017;05;01;02:00;6.6;3.3;5.2;O;18.5;--;42.6;91;1011.9;--;--;1/1h, ;--
2017;05;01;03:00;5.7;3.3;4.0;OSO;11.1;--;42.6;89;1012.4;--;--;1/1h, ;--
2017;05;01;04:00;5.3;2.8;3.3;OSO;11.1;--;27.8;87;1013.8;--;--;0.8/1h, ;--
2017;05;01;05:00;5.4;3.8;3.6;O;7.4;--;29.6;88;1014.4;--;--;1/1h, ;--
2017;05;01;06:00;5.3;3.6;3.6;O;7.4;--;42.6;89;1015.0;--;--;2/1h, 6/12h, 5.5/24h, ;--
2017;05;01;07:00;4.9;3.2;3.4;O;7.4;--;25.9;90;1015.7;--;--;1/1h, ;--
2017;05;01;08:00;5.0;3.9;3.7;ONO;5.6;--;14.8;91;1016.0;--;--;0.4/1h, ;--
2017;05;01;09:00;5.1;4;3.7;O;5.6;--;25.9;91;1016.5;--;--;0.6/1h, ;--
2017;05;01;10:00;5.3;4.2;4.0;ONO;5.6;--;14.8;91;1017.0;--;--;0.5/1h, ;--
2017;05;01;11:00;5.7;4.7;3.9;SSO;5.6;--;11.1;88;1017.3;--;--;0.1/1h, ;--
2017;05;01;12:00;6.1;5.1;4.0;SSE;5.6;--;25.9;86;1017.3;--;--;0.1/1h, 3/6h, ;--
2017;05;01;13:00;7.9;7.2;4.4;SE;5.6;--;11.1;79;1017.2;--;--;0/1h, ;--
2017;05;01;14:00;8.9;8.3;4.0;OSO;5.6;--;13.0;71;1017.0;--;--;0/1h, ;--
2017;05;01;15:00;8.9;8.3;4.5;S;5.6;--;13.0;74;1017.0;--;--;0/1h, ;--
2017;05;01;16:00;9.5;9.5;2.7;SE;3.7;--;11.1;62;1017.1;--;--;0/1h, ;--
2017;05;01;17:00;9.9;9.5;2.6;S;5.6;--;13.0;60;1016.9;--;--;0/1h, ;--
2017;05;01;18:00;9.5;9.5;2.7;SO;1.9;--;13.0;62;1017.4;--;--;0/1h, 3/12h, ;--
2017;05;01;19:00;8.8;8.8;3.8;SE;1.9;--;5.6;71;1017.9;--;--;0/1h, ;--
2017;05;01;20:00;7.8;7.1;3.9;N;5.6;--;9.3;76;1018.8;--;--;0/1h, ;--
2017;05;01;21:00;6.8;5.9;4.1;N;5.6;--;11.1;83;1019.1;--;--;0/1h, ;--
2017;05;01;22:00;6.3;5.3;3.7;N;5.6;--;11.1;83;1019.1;--;--;0/1h, ;--
2017;05;01;23:00;6.1;4.6;3.4;N;7.4;--;13.0;83;1018.8;--;--;0/1h, ;--
2017;05;02;00:00;5.4;3.8;3.2;N;7.4;--;13.0;86;1018.9;--;--;0/1h, 0/6h, ;--
2017;05;02;01:00;5.1;2.9;3.2;N;9.3;--;14.8;87;1018.6;--;--;0/1h, ;--
2017;05;02;02:00;4.8;3.6;2.8;NNE;5.6;--;14.8;87;1018.1;--;--;0/1h, ;--
2017;05;02;03:00;5.0;2.8;2.8;N;9.3;--;14.8;86;1017.7;--;--;0/1h, ;--
2017;05;02;04:00;5.3;3.2;3.0;N;9.3;--;14.8;85;1017.3;--;--;0/1h, ;--
2017;05;02;05:00;5.6;4;2.3;N;7.4;--;13.0;79;1017.2;--;--;0/1h, ;--
2017;05;02;06:00;6.8;6.8;2.2;SE;1.9;--;14.8;72;1017.1;--;--;0/1h, 0/12h, 3.3/24h, ;--
2017;05;02;07:00;7.4;7.4;2.7;ESE;0.0;--;5.6;72;1017.3;--;--;0/1h, ;--
2017;05;02;08:00;7.4;7.4;4.2;SO;1.9;--;9.3;80;1017.2;--;--;0/1h, ;--
2017;05;02;09:00;7.9;7.9;3.9;S;3.7;--;11.1;76;1016.8;--;--;0/1h, ;--
2017;05;02;10:00;8.7;6.9;4.6;O;11.1;--;18.5;75;1016.5;--;--;0/1h, ;--
2017;05;02;11:00;9.3;7.3;4.4;O;13.0;--;22.2;71;1016.0;--;--;0/1h, ;--
2017;05;02;12:00;9.6;8.7;5.3;OSO;7.4;--;22.2;75;1016.0;--;--;0/1h, 0/6h, ;--
2017;05;02;13:00;9.1;8.1;6.0;SSO;7.4;--;18.5;81;1016.2;--;--;0/1h, ;--
2017;05;02;14:00;10.0;10.0;5.5;SO;3.7;--;11.1;74;1016.0;--;--;0/1h, ;--
2017;05;02;15:00;9.8;8.5;6.4;O;9.3;--;18.5;79;1016.0;--;--;0.1/1h, ;--
2017;05;02;16:00;10.1;8.6;4.2;O;11.1;--;18.5;67;1016.4;--;--;0/1h, ;--
2017;05;02;17:00;8.3;6.7;5.1;O;9.3;--;22.2;80;1017.5;--;--;0/1h, ;--
2017;05;02;18:00;7.4;5.7;5.6;ONO;9.3;--;22.2;88;1018.0;--;--;0.2/1h, 0.3/12h, ;--
2017;05;02;19:00;7.2;6.4;5.6;ONO;5.6;--;16.7;90;1018.5;--;--;0.7/1h, ;--
2017;05;02;20:00;7.2;7.2;5.4;NO;3.7;--;11.1;88;1018.9;--;--;0.1/1h, ;--
2017;05;02;21:00;7.3;7.3;5.5;N;3.7;--;16.7;88;1019.2;--;--;0/1h, ;--
2017;05;02;22:00;6.9;6;5.6;NE;5.6;--;5.6;91;1019.6;--;--;0/1h, ;--
2017;05;02;23:00;7.2;7.2;5.7;NE;1.9;--;7.4;90;1019.6;--;--;0/1h, ;--
2017;05;03;00:00;7.2;7.2;5.8;E;1.9;--;16.7;91;1019.4;--;--;0/1h, 0.8/6h, ;--
2017;05;03;01:00;7.2;7.2;5.9;N;1.9;--;3.7;91;1019.2;--;--;0/1h, ;--
2017;05;03;02:00;7.0;7.0;5.7;NE;3.7;--;5.6;91;1019.2;--;--;0/1h, ;--
2017;05;03;03:00;7.1;7.1;6.0;NE;0.0;--;5.6;93;1019.1;--;--;0/1h, ;--
2017;05;03;04:00;7.1;7.1;5.7;NE;1.9;--;5.6;91;1018.9;--;--;0/1h, ;--
2017;05;03;05:00;7.2;7.2;5.7;NE;1.9;--;3.7;90;1018.8;--;--;0/1h, ;--
2017;05;03;06:00;8.3;8.3;5.0;NO;0.0;--;5.6;80;1018.7;--;--;0/1h, 0.8/12h, 1.1/24h, ;--
2017;05;03;07:00;8.4;7.7;5.2;S;5.6;--;9.3;80;1018.8;--;--;0/1h, ;--
2017;05;03;08:00;8.7;8.7;4.7;SSO;3.7;--;11.1;76;1018.9;--;--;0/1h, ;--
2017;05;03;09:00;10.1;9.7;5.4;SO;5.6;--;13.0;73;1018.8;--;--;0/1h, ;--
2017;05;03;10:00;10.2;9.4;4.7;SSO;7.4;--;13.0;69;1018.7;--;--;0/1h, ;--
2017;05;03;11:00;10.1;9.7;4.9;S;5.6;--;18.5;70;1018.5;--;--;0/1h, ;--
2017;05;03;12:00;11.1;10.8;3.8;SO;5.6;--;18.5;61;1017.6;--;--;0/1h, 0/6h, ;--
2017;05;03;13:00;11.3;11.3;4.0;S;3.7;--;13.0;61;1017.2;--;--;0/1h, ;--
2017;05;03;14:00;12.8;12.4;3.9;SO;7.4;--;13.0;55;1016.4;--;--;0/1h, ;--
2017;05;03;15:00;12.8;12.8;3.8;SSO;5.6;--;14.8;54;1016.2;--;--;0/1h, ;--
2017;05;03;16:00;12.6;12.2;3.3;O;7.4;--;14.8;53;1016.1;--;--;0/1h, ;--
2017;05;03;17:00;13.1;12.8;3.9;SO;7.4;--;16.7;54;1015.9;--;--;0/1h, ;--
2017;05;03;18:00;11.8;11.8;4.7;SSE;3.7;--;18.5;62;1016.3;--;--;0/1h, 0/12h, ;--
2017;05;03;19:00;10.2;9.4;6.6;E;7.4;--;16.7;78;1017.4;--;--;0.6/1h, ;--
2017;05;03;20:00;8.9;7.9;6.6;N;7.4;--;16.7;85;1017.6;--;--;0.9/1h, ;--
2017;05;03;21:00;9.1;7.7;6.5;N;9.3;--;16.7;84;1017.7;--;--;2/1h, ;--
2017;05;03;22:00;8.3;7.1;6.2;N;7.4;--;16.7;87;1017.3;--;--;0.1/1h, ;--
2017;05;03;23:00;7.9;7.2;5.7;N;5.6;--;13.0;86;1017.5;--;--;0/1h, ;--
2017;05;04;00:00;7.6;5.9;5.4;N;9.3;--;16.7;86;1017.3;--;--;0/1h, 3/6h, ;--
2017;05;04;01:00;7.3;6;5.2;N;7.4;--;14.8;86;1016.8;--;--;0/1h, ;--
